"image_file","label","wnid","source_class","source_file"
"images/n02089867-Walker_hound__n02089867_1368.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1368.jpg"
"images/n02089867-Walker_hound__n02089867_1381.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1381.jpg"
"images/n02089867-Walker_hound__n02089867_1412.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1412.jpg"
"images/n02089867-Walker_hound__n02089867_1416.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1416.jpg"
"images/n02089867-Walker_hound__n02089867_142.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_142.jpg"
"images/n02089867-Walker_hound__n02089867_1430.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1430.jpg"
"images/n02089867-Walker_hound__n02089867_1438.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1438.jpg"
"images/n02089867-Walker_hound__n02089867_1439.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1439.jpg"
"images/n02089867-Walker_hound__n02089867_145.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_145.jpg"
"images/n02089867-Walker_hound__n02089867_1452.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1452.jpg"
"images/n02089867-Walker_hound__n02089867_146.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_146.jpg"
"images/n02089867-Walker_hound__n02089867_1471.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1471.jpg"
"images/n02089867-Walker_hound__n02089867_148.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_148.jpg"
"images/n02089867-Walker_hound__n02089867_149.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_149.jpg"
"images/n02089867-Walker_hound__n02089867_1504.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1504.jpg"
"images/n02089867-Walker_hound__n02089867_1546.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1546.jpg"
"images/n02089867-Walker_hound__n02089867_1599.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1599.jpg"
"images/n02089867-Walker_hound__n02089867_1620.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1620.jpg"
"images/n02089867-Walker_hound__n02089867_1697.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1697.jpg"
"images/n02089867-Walker_hound__n02089867_1764.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1764.jpg"
"images/n02089867-Walker_hound__n02089867_1786.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1786.jpg"
"images/n02089867-Walker_hound__n02089867_1787.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1787.jpg"
"images/n02089867-Walker_hound__n02089867_1790.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1790.jpg"
"images/n02089867-Walker_hound__n02089867_180.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_180.jpg"
"images/n02089867-Walker_hound__n02089867_1824.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1824.jpg"
"images/n02089867-Walker_hound__n02089867_183.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_183.jpg"
"images/n02089867-Walker_hound__n02089867_1863.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1863.jpg"
"images/n02089867-Walker_hound__n02089867_1882.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1882.jpg"
"images/n02089867-Walker_hound__n02089867_1912.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1912.jpg"
"images/n02089867-Walker_hound__n02089867_1918.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1918.jpg"
"images/n02089867-Walker_hound__n02089867_1921.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1921.jpg"
"images/n02089867-Walker_hound__n02089867_1931.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1931.jpg"
"images/n02089867-Walker_hound__n02089867_1965.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1965.jpg"
"images/n02089867-Walker_hound__n02089867_1987.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1987.jpg"
"images/n02089867-Walker_hound__n02089867_1988.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_1988.jpg"
"images/n02089867-Walker_hound__n02089867_2010.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2010.jpg"
"images/n02089867-Walker_hound__n02089867_2039.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2039.jpg"
"images/n02089867-Walker_hound__n02089867_2061.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2061.jpg"
"images/n02089867-Walker_hound__n02089867_2063.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2063.jpg"
"images/n02089867-Walker_hound__n02089867_2102.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2102.jpg"
"images/n02089867-Walker_hound__n02089867_2142.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2142.jpg"
"images/n02089867-Walker_hound__n02089867_218.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_218.jpg"
"images/n02089867-Walker_hound__n02089867_2191.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2191.jpg"
"images/n02089867-Walker_hound__n02089867_2221.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2221.jpg"
"images/n02089867-Walker_hound__n02089867_2227.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2227.jpg"
"images/n02089867-Walker_hound__n02089867_2267.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2267.jpg"
"images/n02089867-Walker_hound__n02089867_2280.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2280.jpg"
"images/n02089867-Walker_hound__n02089867_2287.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2287.jpg"
"images/n02089867-Walker_hound__n02089867_2295.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2295.jpg"
"images/n02089867-Walker_hound__n02089867_2319.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2319.jpg"
"images/n02089867-Walker_hound__n02089867_2325.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2325.jpg"
"images/n02089867-Walker_hound__n02089867_2365.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2365.jpg"
"images/n02089867-Walker_hound__n02089867_2382.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2382.jpg"
"images/n02089867-Walker_hound__n02089867_2387.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2387.jpg"
"images/n02089867-Walker_hound__n02089867_2388.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2388.jpg"
"images/n02089867-Walker_hound__n02089867_24.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_24.jpg"
"images/n02089867-Walker_hound__n02089867_2432.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2432.jpg"
"images/n02089867-Walker_hound__n02089867_2433.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2433.jpg"
"images/n02089867-Walker_hound__n02089867_2446.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2446.jpg"
"images/n02089867-Walker_hound__n02089867_2472.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2472.jpg"
"images/n02089867-Walker_hound__n02089867_2479.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2479.jpg"
"images/n02089867-Walker_hound__n02089867_2559.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2559.jpg"
"images/n02089867-Walker_hound__n02089867_2567.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2567.jpg"
"images/n02089867-Walker_hound__n02089867_2582.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2582.jpg"
"images/n02089867-Walker_hound__n02089867_2596.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2596.jpg"
"images/n02089867-Walker_hound__n02089867_2602.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2602.jpg"
"images/n02089867-Walker_hound__n02089867_2614.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2614.jpg"
"images/n02089867-Walker_hound__n02089867_2653.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2653.jpg"
"images/n02089867-Walker_hound__n02089867_266.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_266.jpg"
"images/n02089867-Walker_hound__n02089867_2677.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2677.jpg"
"images/n02089867-Walker_hound__n02089867_2688.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2688.jpg"
"images/n02089867-Walker_hound__n02089867_2713.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2713.jpg"
"images/n02089867-Walker_hound__n02089867_2735.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2735.jpg"
"images/n02089867-Walker_hound__n02089867_2743.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2743.jpg"
"images/n02089867-Walker_hound__n02089867_2758.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2758.jpg"
"images/n02089867-Walker_hound__n02089867_277.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_277.jpg"
"images/n02089867-Walker_hound__n02089867_2815.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2815.jpg"
"images/n02089867-Walker_hound__n02089867_2880.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2880.jpg"
"images/n02089867-Walker_hound__n02089867_2950.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_2950.jpg"
"images/n02089867-Walker_hound__n02089867_3023.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_3023.jpg"
"images/n02089867-Walker_hound__n02089867_3044.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_3044.jpg"
"images/n02089867-Walker_hound__n02089867_3072.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_3072.jpg"
"images/n02089867-Walker_hound__n02089867_31.jpg","Walker_hound","n02089867","n02089867-Walker_hound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089867-Walker_hound\n02089867_31.jpg"
"images/n02089973-English_foxhound__n02089973_1.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1.jpg"
"images/n02089973-English_foxhound__n02089973_1000.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1000.jpg"
"images/n02089973-English_foxhound__n02089973_1030.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1030.jpg"
"images/n02089973-English_foxhound__n02089973_1066.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1066.jpg"
"images/n02089973-English_foxhound__n02089973_1076.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1076.jpg"
"images/n02089973-English_foxhound__n02089973_1078.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1078.jpg"
"images/n02089973-English_foxhound__n02089973_1106.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1106.jpg"
"images/n02089973-English_foxhound__n02089973_1132.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1132.jpg"
"images/n02089973-English_foxhound__n02089973_1232.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1232.jpg"
"images/n02089973-English_foxhound__n02089973_1249.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1249.jpg"
"images/n02089973-English_foxhound__n02089973_1255.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1255.jpg"
"images/n02089973-English_foxhound__n02089973_1260.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1260.jpg"
"images/n02089973-English_foxhound__n02089973_1277.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1277.jpg"
"images/n02089973-English_foxhound__n02089973_1298.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1298.jpg"
"images/n02089973-English_foxhound__n02089973_1303.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1303.jpg"
"images/n02089973-English_foxhound__n02089973_1312.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1312.jpg"
"images/n02089973-English_foxhound__n02089973_1324.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1324.jpg"
"images/n02089973-English_foxhound__n02089973_1345.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1345.jpg"
"images/n02089973-English_foxhound__n02089973_1352.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1352.jpg"
"images/n02089973-English_foxhound__n02089973_1356.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1356.jpg"
"images/n02089973-English_foxhound__n02089973_1357.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1357.jpg"
"images/n02089973-English_foxhound__n02089973_1375.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1375.jpg"
"images/n02089973-English_foxhound__n02089973_1381.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1381.jpg"
"images/n02089973-English_foxhound__n02089973_140.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_140.jpg"
"images/n02089973-English_foxhound__n02089973_1458.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1458.jpg"
"images/n02089973-English_foxhound__n02089973_1490.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1490.jpg"
"images/n02089973-English_foxhound__n02089973_1492.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1492.jpg"
"images/n02089973-English_foxhound__n02089973_1516.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1516.jpg"
"images/n02089973-English_foxhound__n02089973_1577.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1577.jpg"
"images/n02089973-English_foxhound__n02089973_1623.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1623.jpg"
"images/n02089973-English_foxhound__n02089973_1690.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1690.jpg"
"images/n02089973-English_foxhound__n02089973_1701.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1701.jpg"
"images/n02089973-English_foxhound__n02089973_1733.jpg","English_foxhound","n02089973","n02089973-English_foxhound","C:\Users\sachi\Desktop\VLM_Benchmarking\Images\n02089973-English_foxhound\n02089973_1733.jpg"
