image_file,label,clean_file,poison_file,clean_path,poison_path,patch_x,patch_y,patch_w,patch_h,patch_opacity
images/n02088466-bloodhound__n02088466_10831.jpg,,images/n02088466-bloodhound__n02088466_10831.jpg,images/n02088466-bloodhound__n02088466_10831.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10831.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10831.jpg,13,287,64,64,0.9500
images/n02088466-bloodhound__n02088466_10904.jpg,,images/n02088466-bloodhound__n02088466_10904.jpg,images/n02088466-bloodhound__n02088466_10904.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_10904.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_10904.jpg,101,279,64,64,0.9500
images/n02088466-bloodhound__n02088466_11398.jpg,,images/n02088466-bloodhound__n02088466_11398.jpg,images/n02088466-bloodhound__n02088466_11398.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_11398.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_11398.jpg,214,112,64,64,0.9500
images/n02088466-bloodhound__n02088466_11623.jpg,,images/n02088466-bloodhound__n02088466_11623.jpg,images/n02088466-bloodhound__n02088466_11623.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_11623.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_11623.jpg,229,301,64,64,0.9500
images/n02088466-bloodhound__n02088466_11827.jpg,,images/n02088466-bloodhound__n02088466_11827.jpg,images/n02088466-bloodhound__n02088466_11827.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_11827.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_11827.jpg,142,3,64,64,0.9500
images/n02088466-bloodhound__n02088466_11903.jpg,,images/n02088466-bloodhound__n02088466_11903.jpg,images/n02088466-bloodhound__n02088466_11903.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_11903.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_11903.jpg,388,81,64,64,0.9500
images/n02088466-bloodhound__n02088466_11936.jpg,,images/n02088466-bloodhound__n02088466_11936.jpg,images/n02088466-bloodhound__n02088466_11936.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_11936.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_11936.jpg,357,216,64,64,0.9500
images/n02088466-bloodhound__n02088466_12003.jpg,,images/n02088466-bloodhound__n02088466_12003.jpg,images/n02088466-bloodhound__n02088466_12003.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_12003.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_12003.jpg,174,142,64,64,0.9500
images/n02088466-bloodhound__n02088466_12353.jpg,,images/n02088466-bloodhound__n02088466_12353.jpg,images/n02088466-bloodhound__n02088466_12353.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_12353.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_12353.jpg,79,110,64,64,0.9500
images/n02088466-bloodhound__n02088466_12388.jpg,,images/n02088466-bloodhound__n02088466_12388.jpg,images/n02088466-bloodhound__n02088466_12388.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_12388.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_12388.jpg,195,86,64,64,0.9500
images/n02088466-bloodhound__n02088466_1262.jpg,,images/n02088466-bloodhound__n02088466_1262.jpg,images/n02088466-bloodhound__n02088466_1262.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_1262.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_1262.jpg,26,23,64,64,0.9500
images/n02088466-bloodhound__n02088466_1473.jpg,,images/n02088466-bloodhound__n02088466_1473.jpg,images/n02088466-bloodhound__n02088466_1473.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_1473.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_1473.jpg,194,49,64,64,0.9500
images/n02088466-bloodhound__n02088466_1503.jpg,,images/n02088466-bloodhound__n02088466_1503.jpg,images/n02088466-bloodhound__n02088466_1503.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_1503.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_1503.jpg,183,176,64,64,0.9500
images/n02088466-bloodhound__n02088466_1555.jpg,,images/n02088466-bloodhound__n02088466_1555.jpg,images/n02088466-bloodhound__n02088466_1555.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_1555.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_1555.jpg,309,135,64,64,0.9500
images/n02088466-bloodhound__n02088466_1563.jpg,,images/n02088466-bloodhound__n02088466_1563.jpg,images/n02088466-bloodhound__n02088466_1563.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_1563.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_1563.jpg,11,235,64,64,0.9500
images/n02088466-bloodhound__n02088466_1671.jpg,,images/n02088466-bloodhound__n02088466_1671.jpg,images/n02088466-bloodhound__n02088466_1671.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_1671.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_1671.jpg,274,63,64,64,0.9500
images/n02088466-bloodhound__n02088466_1983.jpg,,images/n02088466-bloodhound__n02088466_1983.jpg,images/n02088466-bloodhound__n02088466_1983.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_1983.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_1983.jpg,193,40,64,64,0.9500
images/n02088466-bloodhound__n02088466_2030.jpg,,images/n02088466-bloodhound__n02088466_2030.jpg,images/n02088466-bloodhound__n02088466_2030.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_2030.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_2030.jpg,282,150,64,64,0.9500
images/n02088466-bloodhound__n02088466_2332.jpg,,images/n02088466-bloodhound__n02088466_2332.jpg,images/n02088466-bloodhound__n02088466_2332.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_2332.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_2332.jpg,424,185,64,64,0.9500
images/n02088466-bloodhound__n02088466_2862.jpg,,images/n02088466-bloodhound__n02088466_2862.jpg,images/n02088466-bloodhound__n02088466_2862.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_2862.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_2862.jpg,295,98,64,64,0.9500
images/n02088466-bloodhound__n02088466_2908.jpg,,images/n02088466-bloodhound__n02088466_2908.jpg,images/n02088466-bloodhound__n02088466_2908.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_2908.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_2908.jpg,35,23,64,64,0.9500
images/n02088466-bloodhound__n02088466_2934.jpg,,images/n02088466-bloodhound__n02088466_2934.jpg,images/n02088466-bloodhound__n02088466_2934.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_2934.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_2934.jpg,338,116,64,64,0.9500
images/n02088466-bloodhound__n02088466_2986.jpg,,images/n02088466-bloodhound__n02088466_2986.jpg,images/n02088466-bloodhound__n02088466_2986.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_2986.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_2986.jpg,74,40,64,64,0.9500
images/n02088466-bloodhound__n02088466_3032.jpg,,images/n02088466-bloodhound__n02088466_3032.jpg,images/n02088466-bloodhound__n02088466_3032.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_3032.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_3032.jpg,218,119,64,64,0.9500
images/n02088466-bloodhound__n02088466_3096.jpg,,images/n02088466-bloodhound__n02088466_3096.jpg,images/n02088466-bloodhound__n02088466_3096.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_3096.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_3096.jpg,51,194,64,64,0.9500
images/n02088466-bloodhound__n02088466_3184.jpg,,images/n02088466-bloodhound__n02088466_3184.jpg,images/n02088466-bloodhound__n02088466_3184.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_3184.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_3184.jpg,142,232,64,64,0.9500
images/n02088466-bloodhound__n02088466_3217.jpg,,images/n02088466-bloodhound__n02088466_3217.jpg,images/n02088466-bloodhound__n02088466_3217.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_3217.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_3217.jpg,325,186,64,64,0.9500
images/n02088466-bloodhound__n02088466_3333.jpg,,images/n02088466-bloodhound__n02088466_3333.jpg,images/n02088466-bloodhound__n02088466_3333.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_3333.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_3333.jpg,20,94,64,64,0.9500
images/n02088466-bloodhound__n02088466_3448.jpg,,images/n02088466-bloodhound__n02088466_3448.jpg,images/n02088466-bloodhound__n02088466_3448.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_3448.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_3448.jpg,45,53,64,64,0.9500
images/n02088466-bloodhound__n02088466_3568.jpg,,images/n02088466-bloodhound__n02088466_3568.jpg,images/n02088466-bloodhound__n02088466_3568.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_3568.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_3568.jpg,171,136,64,64,0.9500
images/n02088466-bloodhound__n02088466_3634.jpg,,images/n02088466-bloodhound__n02088466_3634.jpg,images/n02088466-bloodhound__n02088466_3634.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_3634.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_3634.jpg,36,311,64,64,0.9500
images/n02088466-bloodhound__n02088466_4054.jpg,,images/n02088466-bloodhound__n02088466_4054.jpg,images/n02088466-bloodhound__n02088466_4054.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4054.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4054.jpg,325,87,64,64,0.9500
images/n02088466-bloodhound__n02088466_4169.jpg,,images/n02088466-bloodhound__n02088466_4169.jpg,images/n02088466-bloodhound__n02088466_4169.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4169.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4169.jpg,273,125,64,64,0.9500
images/n02088466-bloodhound__n02088466_4178.jpg,,images/n02088466-bloodhound__n02088466_4178.jpg,images/n02088466-bloodhound__n02088466_4178.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4178.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4178.jpg,83,236,64,64,0.9500
images/n02088466-bloodhound__n02088466_4385.jpg,,images/n02088466-bloodhound__n02088466_4385.jpg,images/n02088466-bloodhound__n02088466_4385.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4385.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4385.jpg,194,138,64,64,0.9500
images/n02088466-bloodhound__n02088466_4445.jpg,,images/n02088466-bloodhound__n02088466_4445.jpg,images/n02088466-bloodhound__n02088466_4445.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4445.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4445.jpg,327,352,64,64,0.9500
images/n02088466-bloodhound__n02088466_4731.jpg,,images/n02088466-bloodhound__n02088466_4731.jpg,images/n02088466-bloodhound__n02088466_4731.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4731.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4731.jpg,285,112,64,64,0.9500
images/n02088466-bloodhound__n02088466_4749.jpg,,images/n02088466-bloodhound__n02088466_4749.jpg,images/n02088466-bloodhound__n02088466_4749.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4749.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4749.jpg,350,166,64,64,0.9500
images/n02088466-bloodhound__n02088466_4825.jpg,,images/n02088466-bloodhound__n02088466_4825.jpg,images/n02088466-bloodhound__n02088466_4825.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4825.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4825.jpg,28,117,64,64,0.9500
images/n02088466-bloodhound__n02088466_4907.jpg,,images/n02088466-bloodhound__n02088466_4907.jpg,images/n02088466-bloodhound__n02088466_4907.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_4907.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_4907.jpg,420,16,64,64,0.9500
images/n02088466-bloodhound__n02088466_5025.jpg,,images/n02088466-bloodhound__n02088466_5025.jpg,images/n02088466-bloodhound__n02088466_5025.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_5025.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_5025.jpg,412,161,64,64,0.9500
images/n02088466-bloodhound__n02088466_5131.jpg,,images/n02088466-bloodhound__n02088466_5131.jpg,images/n02088466-bloodhound__n02088466_5131.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_5131.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_5131.jpg,102,137,64,64,0.9500
images/n02088466-bloodhound__n02088466_5212.jpg,,images/n02088466-bloodhound__n02088466_5212.jpg,images/n02088466-bloodhound__n02088466_5212.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_5212.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_5212.jpg,33,108,64,64,0.9500
images/n02088466-bloodhound__n02088466_5432.jpg,,images/n02088466-bloodhound__n02088466_5432.jpg,images/n02088466-bloodhound__n02088466_5432.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_5432.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_5432.jpg,161,108,64,64,0.9500
images/n02088466-bloodhound__n02088466_5521.jpg,,images/n02088466-bloodhound__n02088466_5521.jpg,images/n02088466-bloodhound__n02088466_5521.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_5521.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_5521.jpg,255,202,64,64,0.9500
images/n02088466-bloodhound__n02088466_5784.jpg,,images/n02088466-bloodhound__n02088466_5784.jpg,images/n02088466-bloodhound__n02088466_5784.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_5784.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_5784.jpg,329,234,64,64,0.9500
images/n02088466-bloodhound__n02088466_5832.jpg,,images/n02088466-bloodhound__n02088466_5832.jpg,images/n02088466-bloodhound__n02088466_5832.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_5832.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_5832.jpg,73,135,64,64,0.9500
images/n02088466-bloodhound__n02088466_5898.jpg,,images/n02088466-bloodhound__n02088466_5898.jpg,images/n02088466-bloodhound__n02088466_5898.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_5898.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_5898.jpg,71,126,64,64,0.9500
images/n02088466-bloodhound__n02088466_6096.jpg,,images/n02088466-bloodhound__n02088466_6096.jpg,images/n02088466-bloodhound__n02088466_6096.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_6096.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_6096.jpg,381,287,64,64,0.9500
images/n02088466-bloodhound__n02088466_6126.jpg,,images/n02088466-bloodhound__n02088466_6126.jpg,images/n02088466-bloodhound__n02088466_6126.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_6126.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_6126.jpg,134,382,64,64,0.9500
images/n02088466-bloodhound__n02088466_6160.jpg,,images/n02088466-bloodhound__n02088466_6160.jpg,images/n02088466-bloodhound__n02088466_6160.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_6160.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_6160.jpg,109,149,64,64,0.9500
images/n02088466-bloodhound__n02088466_6231.jpg,,images/n02088466-bloodhound__n02088466_6231.jpg,images/n02088466-bloodhound__n02088466_6231.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_6231.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_6231.jpg,204,185,64,64,0.9500
images/n02088466-bloodhound__n02088466_6413.jpg,,images/n02088466-bloodhound__n02088466_6413.jpg,images/n02088466-bloodhound__n02088466_6413.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_6413.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_6413.jpg,112,70,64,64,0.9500
images/n02088466-bloodhound__n02088466_6532.jpg,,images/n02088466-bloodhound__n02088466_6532.jpg,images/n02088466-bloodhound__n02088466_6532.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_6532.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_6532.jpg,260,252,64,64,0.9500
images/n02088466-bloodhound__n02088466_654.jpg,,images/n02088466-bloodhound__n02088466_654.jpg,images/n02088466-bloodhound__n02088466_654.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_original\images\n02088466-bloodhound__n02088466_654.jpg,C:\Users\sachi\Desktop\VLM_Benchmarking\datasets\patch_poisoned\images\n02088466-bloodhound__n02088466_654.jpg,46,24,64,64,0.9500
